date,elections
2012-01-01,6
2012-01-02,7
2012-01-03,16
2012-01-04,27
2012-01-05,14
2012-01-06,12
2012-01-07,8
2012-01-08,8
2012-01-09,14
2012-01-10,17
2012-01-11,24
2012-01-12,13
2012-01-13,13
2012-01-14,8
2012-01-15,8
2012-01-16,10
2012-01-17,15
2012-01-18,14
2012-01-19,14
2012-01-20,13
2012-01-21,13
2012-01-22,20
2012-01-23,16
2012-01-24,17
2012-01-25,15
2012-01-26,15
2012-01-27,16
2012-01-28,10
2012-01-29,11
2012-01-30,18
2012-01-31,30
2012-02-01,30
2012-02-02,15
2012-02-03,11
2012-02-04,10
2012-02-05,13
2012-02-06,14
2012-02-07,14
2012-02-08,21
2012-02-09,14
2012-02-10,11
2012-02-11,9
2012-02-12,10
2012-02-13,12
2012-02-14,12
2012-02-15,15
2012-02-16,14
2012-02-17,14
2012-02-18,8
2012-02-19,9
2012-02-20,12
2012-02-21,14
2012-02-22,16
2012-02-23,14
2012-02-24,15
2012-02-25,8
2012-02-26,10
2012-02-27,16
2012-02-28,21
2012-02-29,28
2012-03-01,18
2012-03-02,16
2012-03-03,12
2012-03-04,17
2012-03-05,28
2012-03-06,58
2012-03-07,75
2012-03-08,18
2012-03-09,13
2012-03-10,9
2012-03-11,9
2012-03-12,14
2012-03-13,18
2012-03-14,29
2012-03-15,12
2012-03-16,11
2012-03-17,9
2012-03-18,11
2012-03-19,17
2012-03-20,22
2012-03-21,34
2012-03-22,14
2012-03-23,13
2012-03-24,8
2012-03-25,14
2012-03-26,12
2012-03-27,14
2012-03-28,11
2012-03-29,12
2012-03-30,11
2012-03-31,6
2012-04-01,8
2012-04-02,15
2012-04-03,24
2012-04-04,34
2012-04-05,15
2012-04-06,9
2012-04-07,6
2012-04-08,7
2012-04-09,11
2012-04-10,16
2012-04-11,14
2012-04-12,14
2012-04-13,12
2012-04-14,8
2012-04-15,9
2012-04-16,15
2012-04-17,15
2012-04-18,19
2012-04-19,18
2012-04-20,16
2012-04-21,12
2012-04-22,40
2012-04-23,32
2012-04-24,28
2012-04-25,26
2012-04-26,17
2012-04-27,15
2012-04-28,12
2012-04-29,12
2012-04-30,18
2012-05-01,20
2012-05-02,21
2012-05-03,20
2012-05-04,20
2012-05-05,18
2012-05-06,61
2012-05-07,49
2012-05-08,57
2012-05-09,57
2012-05-10,22
2012-05-11,16
2012-05-12,18
2012-05-13,27
2012-05-14,19
2012-05-15,23
2012-05-16,31
2012-05-17,14
2012-05-18,12
2012-05-19,8
2012-05-20,11
2012-05-21,18
2012-05-22,16
2012-05-23,19
2012-05-24,17
2012-05-25,15
2012-05-26,10
2012-05-27,9
2012-05-28,10
2012-05-29,27
2012-05-30,49
2012-05-31,16
2012-06-01,15
2012-06-02,10
2012-06-03,9
2012-06-04,16
2012-06-05,39
2012-06-06,81
2012-06-07,23
2012-06-08,19
2012-06-09,11
2012-06-10,12
2012-06-11,18
2012-06-12,24
2012-06-13,29
2012-06-14,18
2012-06-15,26
2012-06-16,23
2012-06-17,100
2012-06-18,42
2012-06-19,16
2012-06-20,13
2012-06-21,9
2012-06-22,8
2012-06-23,7
2012-06-24,11
2012-06-25,12
2012-06-26,16
2012-06-27,20
2012-06-28,12
2012-06-29,10
2012-06-30,9
2012-07-01,16
2012-07-02,35
2012-07-03,13
2012-07-04,9
2012-07-05,11
2012-07-06,11
2012-07-07,6
2012-07-08,7
2012-07-09,12
2012-07-10,12
2012-07-11,11
2012-07-12,12
2012-07-13,13
2012-07-14,9
2012-07-15,8
2012-07-16,15
2012-07-17,16
2012-07-18,19
2012-07-19,12
2012-07-20,11
2012-07-21,7
2012-07-22,8
2012-07-23,14
2012-07-24,15
2012-07-25,13
2012-07-26,15
2012-07-27,14
2012-07-28,9
2012-07-29,10
2012-07-30,19
2012-07-31,32
2012-08-01,59
2012-08-02,1
2012-08-03,1
2012-08-04,1
2012-08-05,1
2012-08-06,1
2012-08-07,2
2012-08-08,3
2012-08-09,1
2012-08-10,1
2012-08-11,1
2012-08-12,1
2012-08-13,2
2012-08-14,4
2012-08-15,6
2012-08-16,1
2012-08-17,1
2012-08-18,1
2012-08-19,1
2012-08-20,1
2012-08-21,1
2012-08-22,2
2012-08-23,1
2012-08-24,1
2012-08-25,1
2012-08-26,1
2012-08-27,1
2012-08-28,2
2012-08-29,3
2012-08-30,1
2012-08-31,1
2012-09-01,1
2012-09-02,1
2012-09-03,1
2012-09-04,2
2012-09-05,2
2012-09-06,2
2012-09-07,2
2012-09-08,1
2012-09-09,1
2012-09-10,2
2012-09-11,2
2012-09-12,2
2012-09-13,2
2012-09-14,2
2012-09-15,1
2012-09-16,1
2012-09-17,2
2012-09-18,2
2012-09-19,2
2012-09-20,2
2012-09-21,2
2012-09-22,1
2012-09-23,1
2012-09-24,2
2012-09-25,2
2012-09-26,2
2012-09-27,2
2012-09-28,2
2012-09-29,1
2012-09-30,2
2012-10-01,3
2012-10-02,3
2012-10-03,3
2012-10-04,4
2012-10-05,3
2012-10-06,2
2012-10-07,3
2012-10-08,5
2012-10-09,5
2012-10-10,3
2012-10-11,3
2012-10-12,3
2012-10-13,2
2012-10-14,2
2012-10-15,3
2012-10-16,3
2012-10-17,4
2012-10-18,4
2012-10-19,4
2012-10-20,2
2012-10-21,3
2012-10-22,5
2012-10-23,6
2012-10-24,6
2012-10-25,5
2012-10-26,5
2012-10-27,4
2012-10-28,4
2012-10-29,5
2012-10-30,6
2012-10-31,6
2012-11-01,7
2012-11-02,8
2012-11-03,7
2012-11-04,8
2012-11-05,18
2012-11-06,47
2012-11-07,100
2012-11-08,12
2012-11-09,6
2012-11-10,4
2012-11-11,3
2012-11-12,2
2012-11-13,3
2012-11-14,2
2012-11-15,2
2012-11-16,1
2012-11-17,1
2012-11-18,1
2012-11-19,1
2012-11-20,1
2012-11-21,1
2012-11-22,1
2012-11-23,1
2012-11-24,0
2012-11-25,1
2012-11-26,1
2012-11-27,1
2012-11-28,1
2012-11-29,1
2012-11-30,1
2012-12-01,1
2012-12-02,0
2012-12-03,1
2012-12-04,1
2012-12-05,1
2012-12-06,1
2012-12-07,1
2012-12-08,1
2012-12-09,1
2012-12-10,1
2012-12-11,1
2012-12-12,1
2012-12-13,1
2012-12-14,1
2012-12-15,0
2012-12-16,1
2012-12-17,1
2012-12-18,1
2012-12-19,1
2012-12-20,1
2012-12-21,0
2012-12-22,0
2012-12-23,0
2012-12-24,0
2012-12-25,0
2012-12-26,0
2012-12-27,0
2012-12-28,0
2012-12-29,0
2012-12-30,0
2012-12-31,0
2013-01-01,0
2013-01-02,0
2013-01-03,0
2013-01-04,0
2013-01-05,0
2013-01-06,0
2013-01-07,1
2013-01-08,1
2013-01-09,1
2013-01-10,1
2013-01-11,1
2013-01-12,0
2013-01-13,0
2013-01-14,1
2013-01-15,1
2013-01-16,1
2013-01-17,1
2013-01-18,0
2013-01-19,0
2013-01-20,0
2013-01-21,0
2013-01-22,1
2013-01-23,1
2013-01-24,1
2013-01-25,1
2013-01-26,0
2013-01-27,0
2013-01-28,1
2013-01-29,1
2013-01-30,1
2013-01-31,1
2013-02-01,0
2013-02-02,0
2013-02-03,0
2013-02-04,1
2013-02-05,1
2013-02-06,1
2013-02-07,1
2013-02-08,0
2013-02-09,0
2013-02-10,0
2013-02-11,1
2013-02-12,1
2013-02-13,1
2013-02-14,1
2013-02-15,1
2013-02-16,0
2013-02-17,0
2013-02-18,1
2013-02-19,1
2013-02-20,1
2013-02-21,1
2013-02-22,1
2013-02-23,0
2013-02-24,1
2013-02-25,2
2013-02-26,1
2013-02-27,1
2013-02-28,1
2013-03-01,1
2013-03-02,0
2013-03-03,0
2013-03-04,1
2013-03-05,1
2013-03-06,2
2013-03-07,1
2013-03-08,1
2013-03-09,0
2013-03-10,0
2013-03-11,1
2013-03-12,1
2013-03-13,1
2013-03-14,1
2013-03-15,0
2013-03-16,0
2013-03-17,0
2013-03-18,1
2013-03-19,1
2013-03-20,1
2013-03-21,1
2013-03-22,0
2013-03-23,0
2013-03-24,0
2013-03-25,1
2013-03-26,1
2013-03-27,1
2013-03-28,1
2013-03-29,1
2013-03-30,0
2013-03-31,0
2013-04-01,1
2013-04-02,4
2013-04-03,5
2013-04-04,3
2013-04-05,2
2013-04-06,1
2013-04-07,2
2013-04-08,2
2013-04-09,5
2013-04-10,10
2013-04-11,3
2013-04-12,2
2013-04-13,1
2013-04-14,3
2013-04-15,6
2013-04-16,3
2013-04-17,2
2013-04-18,2
2013-04-19,2
2013-04-20,1
2013-04-21,1
2013-04-22,2
2013-04-23,2
2013-04-24,2
2013-04-25,2
2013-04-26,2
2013-04-27,1
2013-04-28,1
2013-04-29,3
2013-04-30,3
2013-05-01,3
2013-05-02,3
2013-05-03,3
2013-05-04,2
2013-05-05,4
2013-05-06,4
2013-05-07,6
2013-05-08,10
2013-05-09,3
2013-05-10,4
2013-05-11,10
2013-05-12,10
2013-05-13,6
2013-05-14,5
2013-05-15,4
2013-05-16,3
2013-05-17,3
2013-05-18,2
2013-05-19,1
2013-05-20,2
2013-05-21,4
2013-05-22,9
2013-05-23,2
2013-05-24,2
2013-05-25,1
2013-05-26,1
2013-05-27,1
2013-05-28,2
2013-05-29,2
2013-05-30,2
2013-05-31,2
2013-06-01,1
2013-06-02,1
2013-06-03,2
2013-06-04,2
2013-06-05,3
2013-06-06,2
2013-06-07,2
2013-06-08,1
2013-06-09,1
2013-06-10,2
2013-06-11,2
2013-06-12,2
2013-06-13,1
2013-06-14,1
2013-06-15,1
2013-06-16,2
2013-06-17,2
2013-06-18,2
2013-06-19,1
2013-06-20,1
2013-06-21,1
2013-06-22,1
2013-06-23,1
2013-06-24,1
2013-06-25,2
2013-06-26,3
2013-06-27,1
2013-06-28,1
2013-06-29,1
2013-06-30,1
2013-07-01,1
2013-07-02,1
2013-07-03,2
2013-07-04,1
2013-07-05,1
2013-07-06,1
2013-07-07,1
2013-07-08,2
2013-07-09,2
2013-07-10,2
2013-07-11,1
2013-07-12,1
2013-07-13,1
2013-07-14,1
2013-07-15,2
2013-07-16,2
2013-07-17,2
2013-07-18,2
2013-07-19,1
2013-07-20,1
2013-07-21,1
2013-07-22,1
2013-07-23,2
2013-07-24,2
2013-07-25,2
2013-07-26,1
2013-07-27,1
2013-07-28,1
2013-07-29,2
2013-07-30,2
2013-07-31,3
2013-08-01,3
2013-08-02,2
2013-08-03,2
2013-08-04,1
2013-08-05,2
2013-08-06,3
2013-08-07,4
2013-08-08,2
2013-08-09,2
2013-08-10,1
2013-08-11,1
2013-08-12,2
2013-08-13,3
2013-08-14,3
2013-08-15,2
2013-08-16,2
2013-08-17,1
2013-08-18,1
2013-08-19,1
2013-08-20,2
2013-08-21,2
2013-08-22,2
2013-08-23,2
2013-08-24,1
2013-08-25,1
2013-08-26,2
2013-08-27,2
2013-08-28,2
2013-08-29,2
2013-08-30,1
2013-08-31,1
2013-09-01,1
2013-09-02,1
2013-09-03,2
2013-09-04,2
2013-09-05,2
2013-09-06,2
2013-09-07,1
2013-09-08,2
2013-09-09,3
2013-09-10,6
2013-09-11,11
2013-09-12,3
2013-09-13,2
2013-09-14,1
2013-09-15,1
2013-09-16,2
2013-09-17,2
2013-09-18,3
2013-09-19,3
2013-09-20,2
2013-09-21,2
2013-09-22,3
2013-09-23,3
2013-09-24,3
2013-09-25,3
2013-09-26,2
2013-09-27,2
2013-09-28,1
2013-09-29,2
2013-09-30,3
2013-10-01,4
2013-10-02,4
2013-10-03,3
2013-10-04,3
2013-10-05,2
2013-10-06,2
2013-10-07,4
2013-10-08,5
2013-10-09,4
2013-10-10,4
2013-10-11,3
2013-10-12,2
2013-10-13,2
2013-10-14,3
2013-10-15,4
2013-10-16,5
2013-10-17,5
2013-10-18,4
2013-10-19,2
2013-10-20,2
2013-10-21,4
2013-10-22,4
2013-10-23,4
2013-10-24,4
2013-10-25,4
2013-10-26,2
2013-10-27,3
2013-10-28,5
2013-10-29,5
2013-10-30,5
2013-10-31,5
2013-11-01,5
2013-11-02,4
2013-11-03,5
2013-11-04,17
2013-11-05,45
2013-11-06,100
2013-11-07,12
2013-11-08,6
2013-11-09,3
2013-11-10,2
2013-11-11,4
2013-11-12,4
2013-11-13,3
2013-11-14,3
2013-11-15,3
2013-11-16,2
2013-11-17,2
2013-11-18,3
2013-11-19,3
2013-11-20,3
2013-11-21,2
2013-11-22,2
2013-11-23,1
2013-11-24,2
2013-11-25,2
2013-11-26,2
2013-11-27,2
2013-11-28,1
2013-11-29,1
2013-11-30,1
2013-12-01,1
2013-12-02,5
2013-12-03,6
2013-12-04,10
2013-12-05,7
2013-12-06,6
2013-12-07,4
2013-12-08,19
2013-12-09,9
2013-12-10,6
2013-12-11,6
2013-12-12,5
2013-12-13,4
2013-12-14,2
2013-12-15,3
2013-12-16,4
2013-12-17,4
2013-12-18,4
2013-12-19,4
2013-12-20,3
2013-12-21,1
2013-12-22,2
2013-12-23,2
2013-12-24,2
2013-12-25,1
2013-12-26,2
2013-12-27,2
2013-12-28,2
2013-12-29,2
2013-12-30,2
2013-12-31,3
2014-01-01,2
2014-01-02,4
2014-01-03,3
2014-01-04,2
2014-01-05,2
2014-01-06,4
2014-01-07,4
2014-01-08,5
2014-01-09,5
2014-01-10,4
2014-01-11,3
2014-01-12,3
2014-01-13,5
2014-01-14,5
2014-01-15,5
2014-01-16,5
2014-01-17,4
2014-01-18,3
2014-01-19,2
2014-01-20,3
2014-01-21,5
2014-01-22,5
2014-01-23,5
2014-01-24,5
2014-01-25,2
2014-01-26,4
2014-01-27,5
2014-01-28,5
2014-01-29,6
2014-01-30,5
2014-01-31,4
2014-02-01,3
2014-02-02,3
2014-02-03,5
2014-02-04,6
2014-02-05,5
2014-02-06,5
2014-02-07,4
2014-02-08,3
2014-02-09,3
2014-02-10,5
2014-02-11,6
2014-02-12,5
2014-02-13,6
2014-02-14,4
2014-02-15,3
2014-02-16,4
2014-02-17,6
2014-02-18,8
2014-02-19,6
2014-02-20,7
2014-02-21,6
2014-02-22,5
2014-02-23,4
2014-02-24,8
2014-02-25,8
2014-02-26,7
2014-02-27,7
2014-02-28,8
2014-03-01,4
2014-03-02,5
2014-03-03,7
2014-03-04,15
2014-03-05,31
2014-03-06,8
2014-03-07,7
2014-03-08,4
2014-03-09,5
2014-03-10,8
2014-03-11,11
2014-03-12,12
2014-03-13,7
2014-03-14,6
2014-03-15,4
2014-03-16,5
2014-03-17,7
2014-03-18,11
2014-03-19,16
2014-03-20,7
2014-03-21,6
2014-03-22,5
2014-03-23,7
2014-03-24,8
2014-03-25,7
2014-03-26,7
2014-03-27,7
2014-03-28,6
2014-03-29,5
2014-03-30,8
2014-03-31,11
2014-04-01,10
2014-04-02,13
2014-04-03,9
2014-04-04,7
2014-04-05,6
2014-04-06,8
2014-04-07,12
2014-04-08,15
2014-04-09,15
2014-04-10,13
2014-04-11,10
2014-04-12,8
2014-04-13,7
2014-04-14,10
2014-04-15,9
2014-04-16,10
2014-04-17,12
2014-04-18,8
2014-04-19,6
2014-04-20,6
2014-04-21,9
2014-04-22,10
2014-04-23,11
2014-04-24,12
2014-04-25,10
2014-04-26,6
2014-04-27,7
2014-04-28,11
2014-04-29,12
2014-04-30,14
2014-05-01,11
2014-05-02,12
2014-05-03,9
2014-05-04,9
2014-05-05,15
2014-05-06,31
2014-05-07,47
2014-05-08,15
2014-05-09,12
2014-05-10,10
2014-05-11,13
2014-05-12,21
2014-05-13,18
2014-05-14,16
2014-05-15,17
2014-05-16,100
2014-05-17,21
2014-05-18,13
2014-05-19,15
2014-05-20,25
2014-05-21,35
2014-05-22,13
2014-05-23,12
2014-05-24,7
2014-05-25,12
2014-05-26,14
2014-05-27,13
2014-05-28,15
2014-05-29,8
2014-05-30,6
2014-05-31,4
2014-06-01,4
2014-06-02,8
2014-06-03,18
2014-06-04,41
2014-06-05,10
2014-06-06,6
2014-06-07,4
2014-06-08,4
2014-06-09,6
2014-06-10,11
2014-06-11,14
2014-06-12,7
2014-06-13,7
2014-06-14,4
2014-06-15,5
2014-06-16,6
2014-06-17,5
2014-06-18,5
2014-06-19,5
2014-06-20,5
2014-06-21,4
2014-06-22,4
2014-06-23,7
2014-06-24,12
2014-06-25,22
2014-06-26,5
2014-06-27,5
2014-06-28,3
2014-06-29,3
2014-06-30,4
2014-07-01,4
2014-07-02,5
2014-07-03,3
2014-07-04,3
2014-07-05,3
2014-07-06,2
2014-07-07,5
2014-07-08,4
2014-07-09,6
2014-07-10,4
2014-07-11,5
2014-07-12,3
2014-07-13,3
2014-07-14,5
2014-07-15,6
2014-07-16,7
2014-07-17,4
2014-07-18,5
2014-07-19,3
2014-07-20,3
2014-07-21,5
2014-07-22,7
2014-07-23,8
2014-07-24,5
2014-07-25,6
2014-07-26,3
2014-07-27,4
2014-07-28,7
2014-07-29,6
2014-07-30,6
2014-07-31,5
2014-08-01,6
2014-08-02,1
2014-08-03,1
2014-08-04,1
2014-08-05,2
2014-08-06,2
2014-08-07,1
2014-08-08,1
2014-08-09,1
2014-08-10,1
2014-08-11,1
2014-08-12,1
2014-08-13,1
2014-08-14,1
2014-08-15,1
2014-08-16,0
2014-08-17,0
2014-08-18,1
2014-08-19,1
2014-08-20,1
2014-08-21,1
2014-08-22,1
2014-08-23,1
2014-08-24,1
2014-08-25,1
2014-08-26,3
2014-08-27,4
2014-08-28,1
2014-08-29,1
2014-08-30,0
2014-08-31,0
